NODE,mcc_mean,mcc_std,mcc_p10,mcc_p90,n
BCHA_5_PWXNPR8-APND,0.0,0.0,0.0,0.0,96
BCHA_BC.US.BORDER-APND,0.0,0.0,0.0,0.0,96
BCHA_BCUS.BORDER-APND,0.0,0.0,0.0,0.0,96
BCNPPS1_2_BATTERY-APND,0.0,0.0,0.0,0.0,96
BCNPPS1_2_SOLAR-APND,0.0,0.0,0.0,0.0,96
BCNPPS2_2_SOLAR-APND,0.0,0.0,0.0,0.0,96
BCNPPS3_2_SOLAR-APND,0.0,0.0,0.0,0.0,96
BCNPPS4_2_SOLAR-APND,0.0,0.0,0.0,0.0,96
BCNPPS5_2_SOLAR-APND,0.0,0.0,0.0,0.0,96
BIGCRK_2_EXESWD-APND,-4.889854583333333,11.61057219342893,-15.50924,0.0,96
BLKCRK_2_GMCBT1-APND,-6.508996354166666,17.15193820233443,-10.683530000000001,0.0,96
BLKCRK_2_SOLAR1-APND,-6.508996354166666,17.151938202334428,-10.683530000000001,0.0,96
BLK_EGL_7_BEGL-APND,0.0,0.0,0.0,0.0,96
BLM_2_UNITS-APND,-4.804141041666667,10.404609845064526,-11.633565,0.0,96
BOKS_1_SOLAR-APND,0.0,0.0,0.0,0.0,96
BOX_CNYN_1_GEN_TOTAL-APND,0.0,0.0,0.0,0.0,96
BPAT_AVA.BPAT-APND,0.0,0.0,0.0,0.0,96
BPAT_BC.US.BORDER-APND,0.0,0.0,0.0,0.0,96
BPAT_BOUNDARY-APND,0.0,0.0,0.0,0.0,96
BPAT_BPAT.AVRN-APND,0.0,0.0,0.0,0.0,96
BPAT_BPAT.NWMT-APND,0.0,0.0,0.0,0.0,96
BPAT_BPAT.PACW-APND,0.0,0.0,0.0,0.0,96
BPAT_BPAT.PGE-APND,0.0,0.0,0.0,0.0,96
BPAT_BPAT.PSEI-APND,0.0,0.0,0.0,0.0,96
BPAT_BPAT.SCL-APND,0.0,0.0,0.0,0.0,96
BPAT_BPAT.TPU-APND,0.0,0.0,0.0,0.0,96
BPAT_CAPTAINJACK-APND,0.0,0.0,0.0,0.0,96
BPAT_COBH-APND,0.0,0.0,0.0,0.0,96
BPAT_COYSPR2-APND,0.0,0.0,0.0,0.0,96
BPAT_GARRISON-APND,0.0,0.0,0.0,0.0,96
BPAT_GRIZZLY-APND,0.0,0.0,0.0,0.0,96
BPAT_HILLTOP345-APND,0.0,0.0,0.0,0.0,96
BPAT_JOHNDAY-APND,0.0,0.0,0.0,0.0,96
BPAT_KFALLSGEN-APND,0.0,0.0,0.0,0.0,96
BPAT_KFALLSGEN.AVRN-APND,0.0,0.0,0.0,0.0,96
BPAT_LAGRANDE-APND,0.0,0.0,0.0,0.0,96
BPAT_MALIN-APND,0.0,0.0,0.0,0.0,96
BPAT_MALIN230-APND,0.0,0.0,0.0,0.0,96
BPAT_MCNARY-APND,0.0,0.0,0.0,0.0,96
BPAT_MIDCREMOTE-APND,0.0,0.0,0.0,0.0,96
BPAT_MINTFARM-APND,0.0,0.0,0.0,0.0,96
BPAT_MSS_COLUMB-APND,0.0,0.0,0.0,0.0,96
BPAT_MSS_KLICK-APND,0.0,0.0,0.0,0.0,96
BPAT_MSS_WASCO-APND,0.0,0.0,0.0,0.0,96
