ba,mef_state_ar,mef_low_regime,mef_high_regime,se_low_regime,se_high_regime,pi_low,pi_high,phi_low,phi_high,regime_spread_pct,n_obs,llf
AECI,519.1364699753026,460.1855026016179,563.0114385607861,4.597765746196337,3.7487521765970513,0.42669165299799544,0.5733083470020046,0.3912818760656897,0.28066896178302225,19.807110828499507,17212,-98288.47890271383
BPAT,64.05219060659348,0.5072088057537829,411.2750876456289,0.13982181652159814,2.0551202821853707,0.8453019696177103,0.15469803038228971,0.9985903013660551,0.09967495835245843,641.3018429967499,17214,-57908.9042784076
CISO,185.78391105375403,34.28981379390923,403.12657088182357,0.8217097289554453,2.907421475211443,0.5892651848044111,0.41073481519558885,0.9108087282696172,0.14412311725258778,198.529977647632,17189,-117753.9406542858
CPLE,225.79374532397748,200.01702789470534,247.35249041196698,3.1346426649212553,3.9849447213619635,0.4554459583051025,0.5445540416948975,0.6718531139871474,0.5943632714002561,20.964027346879305,17209,-107376.77918109135
DUK,164.2931838728627,164.19885170108543,164.40853883498292,2.0997483587171644,2.9860659115655483,0.5501289467602466,0.4498710532397533,0.6935482210351308,0.726020882238242,0.12762984376744102,17209,-114968.32877770337
ERCO,389.6106476238233,354.86958312073443,421.1817901345567,1.9799569030345296,2.186659583409209,0.4760985033140682,0.5239014966859318,0.3099709639100848,0.21956954474160195,17.02012186223617,17187,-132473.63107816057
FPC,382.8885729664562,373.4889714405161,407.30385791052197,2.017872190014904,3.125986276016096,0.7220277071083014,0.27797229289169867,0.3087339187056328,0.2872685642543726,8.831521454929478,17209,-102890.42276877418
FPL,401.35300988989235,359.24978732886893,424.04120624321354,,,0.35017285828105316,0.6498271417189467,658.6416437724735,462.1371886018315,16.143249787043967,17211,
IPCO,179.29461666384975,17.72451454621325,427.0431753683291,0.7127079595554009,1.834157237871828,0.6052706177794993,0.3947293822205008,0.9585682006615753,0.08558261770227864,228.2938932793093,17189,-58278.72657022557
ISNE,260.9036809264063,148.09813745991602,307.2955386910649,2.7001732722547587,1.9059196306229478,0.2914108987074439,0.7085891012925561,0.7219150947713052,0.3143430742269293,61.01769076843882,17211,-111508.8446356386
LDWP,211.85519368527747,125.20178626839358,494.3039739083896,2.0747591631631654,4.752982457367315,0.7652319321894638,0.2347680678105363,0.7913597326480593,0.3025491671671118,174.22380882874066,17214,-95074.25983088667
MISO,379.8402743433307,379.8402669262243,600.9838349825379,2.2813649935048645,0.004910299738120533,0.999999966460221,3.3539778954826906e-08,0.43276854289363836,0.19002839058678384,58.220147518223946,17212,-142912.49938933642
NEVP,376.63566948401393,199.34931978476197,478.7296702315721,3.2312923572076175,0.7272409052932641,0.3654301406103912,0.6345698593896089,0.5811525070037256,0.0428202470227559,74.17787880514813,17214,-96907.83145367389
NYIS,314.22269807338137,90.39070777757868,317.9045448134544,8.133297969915503,1.0395848218621127,0.016182957432573326,0.9838170425674266,0.29640149322080717,0.31028735449246075,72.40528403290068,17204,-109462.07989055154
PACE,788.2217802161865,775.1086855307509,800.3046739001676,2.213972182740206,2.248028403878583,0.479556249464203,0.5204437505357971,0.09988795498045808,0.10917851910137727,3.1965607906072004,17213,-100345.52476202078
PGE,282.5765928724125,58.68623146939958,413.09385589117505,1.2431475771449054,1.6919106751050335,0.36826877873100106,0.6317312212689989,0.8561554535423294,0.11776415757822963,125.42002181397797,17214,-69603.5156266579
PJM,259.72355502434374,249.03940150051523,533.1016576979192,0.893684158596108,8.759144561988647,0.9623879861166641,0.03761201388333594,0.598270162741033,0.150206407448322,109.37100263038484,17207,-143417.42929787887
PNM,184.23168054912634,47.8421540948042,367.9142541014808,1.6745295683257968,3.2474287269391584,0.5738787402854636,0.4261212597145364,0.906004602287462,0.3598577386374474,173.7334746405506,17189,-84751.63147540485
PSCO,334.6567109227554,293.9040140082476,375.075313973433,3.016075474538551,3.684114388038383,0.4979420443927009,0.502057955607299,0.5063022325444165,0.36978570924854837,24.255094045886676,17188,-103910.36596221634
SRP,219.72583867776086,84.90867260125769,304.2057042802602,3.641133512201934,4.97591509961985,0.3852303196066844,0.6147696803933156,0.8098135852599873,0.40828464836879685,99.80484452746259,17189,-101417.79875419932
SWPP,481.92367769209045,475.98529667832645,487.0346648818426,2.814818333533881,2.465199810282828,0.46255922470985145,0.5374407752901484,0.3342703419107966,0.2947025297473012,2.2927630898799296,17212,-125410.85163734843
TVA,43.13176316330462,41.54440429192202,745.7305265095264,1.1128682510339483,41.71460783100587,0.9977458248305381,0.0022541751694619147,0.9166767313606319,-0.4005917576397863,1632.6393139817378,17212,-117108.3558927259
